id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
66,375775.000099999830127,582775.000099999830127,380775.000099999830127,577775.000099999830127,378275.000099999830127,580275.000099999713711,"0","0","1578","25455","0","1629","0","0","7588","0","3694","0","0","43","0","13"
67,375775.000099999830127,577775.000099999830127,380775.000099999830127,572775.000099999830127,378275.000099999830127,575275.000099999713711,"0","0","1294","27959","0","2106","0","0","6327","0","2215","0","0","0","0","99"
68,375775.000099999830127,572775.000099999830127,380775.000099999830127,567775.000099999830127,378275.000099999830127,570275.000099999713711,"0","0","616","9898","0","9629","0","0","14836","0","3580","0","0","1408","0","33"
69,375775.000099999830127,567775.000099999830127,380775.000099999830127,562775.000099999830127,378275.000099999830127,565275.000099999713711,"0","0","4883","319","608","28261","0","0","2970","19","1505","0","0","362","0","1073"
70,375775.000099999830127,562775.000099999830127,380775.000099999830127,557775.000099999830127,378275.000099999830127,560275.000099999713711,"0","0","6989","545","0","24104","0","0","5100","20","3095","0","0","0","0","147"
71,375775.000099999830127,557775.000099999830127,380775.000099999830127,552775.000099999830127,378275.000099999830127,555275.000099999713711,"0","0","3679","1239","0","20054","0","0","10095","0","2105","2653","0","0","0","175"
72,375775.000099999830127,552775.000099999830127,380775.000099999830127,547775.000099999830127,378275.000099999830127,550275.000099999713711,"0","0","871","272","0","7783","0","0","23444","0","159","7413","12","0","0","46"
73,375775.000099999830127,547775.000099999830127,380775.000099999830127,542775.000099999830127,378275.000099999830127,545275.000099999713711,"0","0","288","392","0","1230","0","0","16563","0","175","21145","68","13","0","126"
74,375775.000099999830127,542775.000099999830127,380775.000099999830127,537775.000099999830127,378275.000099999830127,540275.000099999713711,"0","2759","37","1262","0","1306","0","0","6082","0","0","28537","0","0","0","17"
75,375775.000099999830127,537775.000099999830127,380775.000099999830127,532775.000099999830127,378275.000099999830127,535275.000099999713711,"0","6200","0","13","0","0","0","0","865","0","0","32922","0","0","0","0"
76,380775.000099999830127,607775.000099999830127,385775.000099999830127,602775.000099999830127,383275.000099999830127,605275.000099999713711,"0","0","0","695","0","0","0","0","33865","0","0","5440","0","0","0","0"
77,380775.000099999830127,602775.000099999830127,385775.000099999830127,597775.000099999830127,383275.000099999830127,600275.000099999713711,"0","0","744","6456","0","5638","0","459","14612","0","11534","363","0","0","0","194"
78,380775.000099999830127,597775.000099999830127,385775.000099999830127,592775.000099999830127,383275.000099999830127,595275.000099999713711,"0","0","1558","2001","0","13245","0","188","2866","0","19999","0","0","0","0","143"
79,380775.000099999830127,592775.000099999830127,385775.000099999830127,587775.000099999830127,383275.000099999830127,590275.000099999713711,"0","0","256","231","0","2333","0","0","3077","3246","30784","0","65","0","0","8"
80,380775.000099999830127,587775.000099999830127,385775.000099999830127,582775.000099999830127,383275.000099999830127,585275.000099999713711,"0","0","3392","107","0","18275","0","0","4941","1726","10679","0","0","0","0","880"
81,380775.000099999830127,582775.000099999830127,385775.000099999830127,577775.000099999830127,383275.000099999830127,580275.000099999713711,"0","0","3319","94","0","30262","0","0","5636","0","202","0","0","205","0","282"
82,380775.000099999830127,577775.000099999830127,385775.000099999830127,572775.000099999830127,383275.000099999830127,575275.000099999713711,"0","0","2507","2396","922","20802","0","0","12547","0","713","0","0","0","0","113"
83,380775.000099999830127,572775.000099999830127,385775.000099999830127,567775.000099999830127,383275.000099999830127,570275.000099999713711,"0","0","857","442","51","19379","0","0","16866","0","2061","0","0","240","0","104"
84,380775.000099999830127,567775.000099999830127,385775.000099999830127,562775.000099999830127,383275.000099999830127,565275.000099999713711,"0","0","4511","490","1218","30230","0","0","1677","0","361","0","16","50","0","1447"
85,380775.000099999830127,562775.000099999830127,385775.000099999830127,557775.000099999830127,383275.000099999830127,560275.000099999713711,"0","0","1859","792","139","22691","0","0","5832","6401","1905","0","0","124","0","257"
86,380775.000099999830127,557775.000099999830127,385775.000099999830127,552775.000099999830127,383275.000099999830127,555275.000099999713711,"0","0","3046","282","0","26793","0","0","6358","1155","532","935","0","0","0","899"
87,380775.000099999830127,552775.000099999830127,385775.000099999830127,547775.000099999830127,383275.000099999830127,550275.000099999713711,"0","0","971","912","0","10044","0","0","12168","3047","0","12710","0","30","0","118"
88,380775.000099999830127,547775.000099999830127,385775.000099999830127,542775.000099999830127,383275.000099999830127,545275.000099999713711,"0","0","124","1291","0","2078","0","0","11784","777","0","23757","57","45","0","87"
89,380775.000099999830127,542775.000099999830127,385775.000099999830127,537775.000099999830127,383275.000099999830127,540275.000099999713711,"-9999","17800","97","518","0","980","0","0","7658","0","30","12789","0","35","0","93"
90,380775.000099999830127,537775.000099999830127,385775.000099999830127,532775.000099999830127,383275.000099999830127,535275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
91,385775.000099999830127,607775.000099999830127,390775.000099999830127,602775.000099999830127,388275.000099999830127,605275.000099999713711,"0","0","858","255","123","2407","0","0","29667","4629","135","1859","0","0","0","67"
92,385775.000099999830127,602775.000099999830127,390775.000099999830127,597775.000099999830127,388275.000099999830127,600275.000099999713711,"0","0","243","2137","0","3026","0","0","14940","1788","15128","2729","0","0","0","9"
93,385775.000099999830127,597775.000099999830127,390775.000099999830127,592775.000099999830127,388275.000099999830127,595275.000099999713711,"0","0","1835","817","0","15734","0","0","12109","0","8433","0","0","8","86","978"
94,385775.000099999830127,592775.000099999830127,390775.000099999830127,587775.000099999830127,388275.000099999830127,590275.000099999713711,"0","0","912","1233","0","23659","0","0","3511","455","10024","0","0","0","0","206"
95,385775.000099999830127,587775.000099999830127,390775.000099999830127,582775.000099999830127,388275.000099999830127,585275.000099999713711,"0","0","2146","182","0","27748","0","0","7687","46","1775","0","0","0","0","416"
96,385775.000099999830127,582775.000099999830127,390775.000099999830127,577775.000099999830127,388275.000099999830127,580275.000099999713711,"0","0","3792","292","0","29756","0","0","5274","0","157","0","0","480","0","249"
97,385775.000099999830127,577775.000099999830127,390775.000099999830127,572775.000099999830127,388275.000099999830127,575275.000099999713711,"0","0","5744","0","9534","23234","0","0","60","0","0","0","12","524","45","847"
98,385775.000099999830127,572775.000099999830127,390775.000099999830127,567775.000099999830127,388275.000099999830127,570275.000099999713711,"0","0","4055","394","6006","26556","0","0","1971","37","0","0","168","0","20","793"
99,385775.000099999830127,567775.000099999830127,390775.000099999830127,562775.000099999830127,388275.000099999830127,565275.000099999713711,"0","0","7914","72","5351","25843","0","0","202","0","0","0","0","0","17","601"
100,385775.000099999830127,562775.000099999830127,390775.000099999830127,557775.000099999830127,388275.000099999830127,560275.000099999713711,"0","0","1243","632","98","24989","0","0","4240","7362","1325","0","0","0","0","111"
101,385775.000099999830127,557775.000099999830127,390775.000099999830127,552775.000099999830127,388275.000099999830127,555275.000099999713711,"0","0","482","492","0","7945","0","0","5252","23528","2257","0","0","0","0","44"
102,385775.000099999830127,552775.000099999830127,390775.000099999830127,547775.000099999830127,388275.000099999830127,550275.000099999713711,"0","0","0","40","0","288","0","0","6787","32865","20","0","0","0","0","0"
103,385775.000099999830127,547775.000099999830127,390775.000099999830127,542775.000099999830127,388275.000099999830127,545275.000099999713711,"0","0","202","623","0","583","0","0","9080","17069","0","12319","0","20","0","104"
104,385775.000099999830127,542775.000099999830127,390775.000099999830127,537775.000099999830127,388275.000099999830127,540275.000099999713711,"-9999","17800","0","97","0","591","0","0","14269","0","0","7230","0","0","0","13"
